Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
233;Trey Jemison;C;24;MEM;1;0;14;2;2;1;0;0;0;2;2;1;1;1;1;1;1;2;3;0;1;1;0;2;5
234;Ty Jerome;SG;26;CLE;2;0;7.5;1;2;0.5;0;0.5;0;1;1.5;0.667;0.5;0;0;0;0.5;0;0.5;1.5;0;0;0.5;1;2
235;Isaiah Joe;SG;24;OKC;47;0;18.8;3;6.4;0.462;2;4.8;0.424;0.9;1.6;0.571;0.62;0.7;0.8;0.842;0.4;2;2.4;1.1;0.6;0.3;0.6;1.2;8.6
236;Cameron Johnson;PF;27;BRK;39;39;28.5;5.2;11.3;0.456;2.5;6.2;0.398;2.7;5.1;0.525;0.565;1.2;1.6;0.742;1.1;3.5;4.6;2.6;0.8;0.2;1;1.8;13.9
237;Jalen Johnson;SF;22;ATL;35;32;33.4;6.3;11.7;0.534;1.2;3.3;0.368;5;8.4;0.601;0.587;2;2.7;0.753;1.2;7.1;8.4;3.3;1.3;0.8;1.8;2.7;15.7
238;James Johnson;PF;36;IND;5;0;4.8;0.4;1;0.4;0;0.2;0;0.4;0.8;0.5;0.4;0;0;0;0.2;0.6;0.8;1;0.8;0;0.4;0.8;0.8
239;Keldon Johnson;SF;24;SAS;46;26;30.4;6.1;13.3;0.455;1.8;5.2;0.342;4.3;8.2;0.527;0.521;2.8;3.6;0.776;1.5;4.4;5.9;3.2;0.9;0.3;1.6;2.4;16.7
240;Keon Johnson;SG;21;BRK;1;0;21;3;8;0.375;2;4;0.5;1;4;0.25;0.5;4;4;1;0;1;1;1;1;1;1;1;12
241;Keyontae Johnson;SF;23;OKC;7;0;8.1;0.6;1.7;0.333;0.1;0.3;0.5;0.4;1.4;0.3;0.375;0;0;0;0.4;0.4;0.9;0.6;0;0;0.6;0.6;1.3
242;Nikola Joki?;C;28;DEN;48;48;33.8;10.3;17.5;0.587;1;2.9;0.362;9.2;14.6;0.631;0.617;4.8;5.8;0.817;3.1;9.2;12.3;9.1;1.2;0.9;3;2.6;26.3
243;Colby Jones;SG;21;SAC;15;0;7.3;1.1;2.8;0.381;0.1;0.9;0.077;1;1.9;0.517;0.393;0.1;0.2;0.667;0.6;0.8;1.4;0.6;0.3;0.1;0.3;1;2.3
244;Damian Jones;C;28;CLE;22;0;6.4;0.8;1.5;0.531;0.1;0.3;0.286;0.7;1.1;0.6;0.563;0.5;0.5;0.909;0.4;1;1.4;0.4;0.1;0.4;0.4;0.7;2.1
245;Derrick Jones Jr.;SF;26;DAL;44;43;26;3.7;7.6;0.487;1.3;3.8;0.349;2.4;3.8;0.627;0.575;1.3;1.8;0.734;1.2;2.4;3.6;1;0.8;0.8;1;1.9;10.1
246;Herbert Jones;SF;25;NOP;44;44;28.5;3.9;7.9;0.494;1.4;3.5;0.396;2.5;4.4;0.573;0.582;1.8;2;0.856;1.1;2.5;3.6;2.5;1.1;0.9;1.2;2.8;10.9
247;Tre Jones;PG;24;SAS;45;16;26;3.8;7.7;0.497;0.6;2.3;0.284;3.2;5.4;0.586;0.539;1.4;1.6;0.886;0.7;2.5;3.2;5.8;1;0.1;1.4;1.3;9.7
248;Tyus Jones;PG;27;WAS;48;48;28.6;5.1;10.3;0.492;1.5;3.7;0.399;3.6;6.6;0.544;0.564;0.5;0.7;0.758;0.3;2.5;2.9;6.3;1.2;0.3;0.9;0.8;12.1
249;DeAndre Jordan;C;35;DEN;25;1;11.9;1.7;2.6;0.646;0;0;0;1.7;2.6;0.646;0.646;0.8;1.9;0.447;1.7;3;4.7;0.8;0.2;0.5;0.8;1.8;4.2
250;Cory Joseph;PG;32;GSW;25;0;11.6;0.8;2.4;0.333;0.4;1.6;0.282;0.4;0.8;0.429;0.425;0.2;0.3;0.571;0.2;0.9;1.2;1.6;0.2;0.1;0.5;1;2.2
251;Nikola Jovi?;PF;20;MIA;19;12;16.7;1.9;4.8;0.402;1;2.4;0.422;0.9;2.5;0.383;0.505;0.6;1.1;0.55;0.9;3.4;4.3;1.9;0.3;0.4;0.9;1.9;5.5
252;Johnny Juzang;SG;22;UTA;1;0;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
253;Luke Kennard;SG;27;MEM;22;9;24.4;3.5;8;0.432;2.7;6.1;0.437;0.8;1.9;0.415;0.599;0.8;0.9;0.895;0.4;2.7;3.1;3.1;0.5;0;1;1;10.4
254;Walker Kessler;C;22;UTA;42;13;23.1;3.7;5.7;0.66;0.1;0.4;0.25;3.6;5.3;0.689;0.668;0.8;1.6;0.515;2.5;4.9;7.4;0.8;0.5;2.7;1;2.1;8.4
255;Braxton Key;SF;26;DEN;14;0;3.2;0.4;1;0.357;0.1;0.3;0.25;0.3;0.7;0.4;0.393;0.3;0.4;0.8;0.1;0.6;0.7;0.6;0.1;0;0.1;0.3;1.1
256;Corey Kispert;SF;24;WAS;47;1;21.9;4.1;8.6;0.483;2;5.4;0.368;2.1;3.2;0.678;0.598;1.3;1.8;0.759;0.3;2;2.3;1.5;0.3;0.2;1;1.5;11.6
257;Maxi Kleber;C;32;DAL;14;3;19.8;1.6;3.9;0.426;0.8;2.2;0.355;0.9;1.6;0.522;0.528;0.8;1.1;0.688;0.6;2.4;3;1.5;0.3;0.6;1;2.4;4.9
258;Kevin Knox;SF;24;DET;30;10;18.2;2.9;6.1;0.47;1;3.1;0.337;1.8;3;0.604;0.555;0.7;0.7;0.909;0.6;1.9;2.5;0.7;0.4;0.2;0.7;1.6;7.4
259;John Konchar;SF;27;MEM;39;10;18.7;1.4;3.5;0.407;0.6;2;0.299;0.8;1.5;0.552;0.493;0.3;0.4;0.786;1.2;3.1;4.3;1.7;0.7;0.9;0.6;1.2;3.7
260;Furkan Korkmaz;SG;26;PHI;33;0;8.4;0.9;2.2;0.411;0.4;1.2;0.368;0.5;1.1;0.457;0.507;0.4;0.6;0.7;0;0.7;0.8;0.8;0.4;0;0.3;0.5;2.7
