Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
323;Shake Milton;SG;27;MIN;37;0;13.1;1.7;4.2;0.408;0.4;1.4;0.264;1.4;2.8;0.481;0.452;1;1.2;0.818;0.2;1.1;1.3;1.4;0.4;0.1;0.8;1.2;4.8
324;Justin Minaya;SF;24;POR;13;0;8.9;0.5;1.5;0.3;0.2;1;0.231;0.2;0.5;0.429;0.375;0.2;0.5;0.5;0.4;0.6;1;0.4;0.3;0.4;0.2;0.7;1.4
325;Josh Minott;SF;21;MIN;15;0;3.1;0.5;1.2;0.444;0;0.3;0;0.5;0.9;0.615;0.444;0.7;0.8;0.833;0.1;0.1;0.2;0.2;0.1;0.2;0.1;0.4;1.7
326;Davion Mitchell;PG;25;SAC;38;3;12.7;1.4;3.6;0.38;0.5;1.8;0.257;0.9;1.8;0.507;0.445;0.4;0.6;0.762;0.2;0.9;1;1.8;0.2;0.1;0.6;1.1;3.6
327;Donovan Mitchell;SG;27;CLE;38;38;35.6;9.9;21.1;0.469;3.2;9.2;0.351;6.7;12;0.56;0.545;5.2;6;0.856;1.1;4.4;5.5;6.4;1.9;0.5;2.8;2.2;28.2
328;Evan Mobley;PF;22;CLE;24;24;32.2;6.7;11.5;0.581;0.2;0.6;0.357;6.5;11;0.593;0.59;2.3;3;0.775;2.5;7.6;10.1;2.8;0.8;1.5;2.1;2.9;15.9
329;Isaiah Mobley;PF;24;CLE;3;0;4.7;0.7;1.3;0.5;0.3;0.7;0.5;0.3;0.7;0.5;0.625;0;0;0;0;0.7;0.7;1.3;0.3;0;0.3;0.7;1.7
330;Malik Monk;SG;25;SAC;47;0;25.6;5;11.3;0.439;2.3;6;0.379;2.7;5.3;0.506;0.539;2.4;2.9;0.812;0.4;2.3;2.7;5.4;0.6;0.6;2.1;2;14.6
331;Moses Moody;SG;21;GSW;34;4;18;3.1;6.5;0.482;1.1;3.1;0.358;2;3.4;0.595;0.568;1.3;1.7;0.789;1.1;2;3.1;0.8;0.7;0.3;0.7;1.4;8.7
332;Xavier Moon;SG;29;LAC;2;0;6;0.5;1;0.5;0;0.5;0;0.5;0.5;1;0.5;0;0;0;0;1;1;1.5;0;0;0.5;0.5;1
333;Taze Moore;SG;25;POR;3;0;3.3;1;1.7;0.6;0;0.7;0;1;1;1;0.6;0;0;0;0;0;0;0.3;0.3;0;0.3;0.7;2
334;Wendell Moore Jr.;SG;22;MIN;12;0;3.1;0.3;0.5;0.667;0;0.2;0;0.3;0.3;1;0.667;0;0;0;0;0.4;0.4;0.1;0.3;0.1;0.2;0.3;0.7
335;Ja Morant;PG;24;MEM;9;9;35.3;8.9;18.9;0.471;1.6;5.7;0.275;7.3;13.2;0.555;0.512;5.8;7.1;0.813;0.7;4.9;5.6;8.1;0.8;0.6;3;2.1;25.1
336;Marcus Morris;PF;34;PHI;36;7;17;2.4;5.4;0.441;0.9;2.4;0.395;1.4;3;0.477;0.528;0.9;1;0.861;0.5;2.4;2.9;0.7;0.3;0.3;0.5;1.7;6.6
337;Markieff Morris;PF;34;DAL;16;1;9.4;0.9;2.9;0.319;0.6;1.8;0.321;0.4;1.2;0.316;0.415;0.2;0.3;0.75;0.3;1.5;1.8;0.7;0.3;0.1;0.6;0.7;2.6
338;Monte Morris;PG;28;DET;5;0;12;2.2;5.6;0.393;0.4;1.8;0.222;1.8;3.8;0.474;0.429;0.2;0.4;0.5;0;1.6;1.6;1.6;0.2;0.2;0.4;0.2;5
339;Trey Murphy III;SF;23;NOP;24;5;25.9;4.3;10.1;0.428;2.5;7;0.357;1.8;3.1;0.587;0.551;1.6;2.1;0.78;0.5;3.3;3.8;1.8;0.7;0.3;0.6;1.2;12.8
340;Dejounte Murray;SG;27;ATL;48;48;35;8.3;17.7;0.468;2.3;6.2;0.368;6;11.5;0.521;0.532;2.6;3.2;0.836;0.7;4.4;5.1;5.2;1.3;0.3;2.2;1.8;21.5
341;Jamal Murray;PG;26;DEN;36;36;31.8;7.9;16.7;0.47;2.4;5.9;0.399;5.5;10.8;0.509;0.541;2.9;3.4;0.86;0.7;3.3;3.9;6.5;0.8;0.7;1.9;2;21
342;Keegan Murray;SF;23;SAC;44;44;32.9;5.9;12.8;0.465;2.4;6.5;0.365;3.5;6.2;0.571;0.559;1.4;1.8;0.792;1.3;4.1;5.4;1.6;1.2;0.6;0.8;2.6;15.6
343;Kris Murray;SF;23;POR;29;0;12.4;1.2;3.4;0.367;0.5;1.8;0.294;0.7;1.6;0.447;0.444;0.3;0.4;0.667;0.7;1.2;1.8;0.6;0.8;0.2;0.5;0.8;3.3
344;Mike Muscala;C;32;TOT;31;3;13.6;1.4;3.6;0.378;0.7;2.2;0.319;0.6;1.4;0.476;0.477;0.5;0.7;0.727;0.9;2.1;3;0.9;0.2;0.4;0.5;1.3;3.9
344;Mike Muscala;C;32;WAS;24;2;14.1;1.4;3.8;0.367;0.6;2.1;0.275;0.8;1.6;0.487;0.444;0.6;0.8;0.75;0.9;2.2;3.1;0.9;0.2;0.3;0.7;1.3;4
344;Mike Muscala;C;32;DET;7;1;12.1;1.3;3;0.429;1.1;2.6;0.444;0.1;0.4;0.333;0.619;0.1;0.3;0.5;0.7;1.9;2.6;0.9;0.1;0.6;0.1;1.3;3.9
345;Svi Mykhailiuk;SF;26;BOS;21;0;7.7;0.9;2.8;0.328;0.7;2.2;0.298;0.2;0.5;0.455;0.448;0.1;0.3;0.5;0.2;0.6;0.9;0.3;0.3;0;0.3;0.5;2.6
346;Larry Nance Jr.;C;31;NOP;31;0;17.8;2.2;3.9;0.567;0.6;1.3;0.462;1.6;2.6;0.617;0.642;0.8;1;0.8;1.3;3.8;5.1;1.3;1;0.4;0.7;1.2;5.7
347;Pete Nance;PF;23;CLE;2;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
348;Andrew Nembhard;PG;24;IND;36;15;21.6;3.8;7.9;0.484;0.7;2.2;0.329;3.1;5.7;0.544;0.53;0.8;1;0.8;0.6;1.2;1.8;4.6;0.8;0.1;1.8;2;9.2
349;Aaron Nesmith;SF;24;IND;45;20;26.8;4.5;8.8;0.518;2.1;4.6;0.459;2.4;4.1;0.584;0.64;1.2;1.6;0.716;1;3;3.9;1.4;1;0.7;0.9;3.4;12.4
350;Georges Niang;PF;30;CLE;47;1;22;3.3;7.9;0.425;1.7;4.9;0.351;1.6;2.9;0.551;0.535;0.7;0.8;0.868;0.3;3.4;3.7;1.3;0.2;0.2;0.7;2.3;9.1
351;Daishen Nix;PG;21;MIN;6;0;3.5;0.5;1.3;0.375;0.3;0.8;0.4;0.2;0.5;0.333;0.5;0;0.3;0;0;0.2;0.2;0;0.2;0;0;0;1.3
352;Zeke Nnaji;PF;23;DEN;37;0;9.4;1.1;2.5;0.457;0.1;0.4;0.313;1;2.1;0.487;0.484;0.7;1.1;0.641;1.1;1;2.1;0.5;0.2;0.5;0.6;1.5;3.1
353;Jaylen Nowell;SG;24;MEM;9;1;17.3;2.4;6.1;0.4;0.4;2.6;0.174;2;3.6;0.563;0.436;0.3;0.3;1;0.3;1.2;1.6;1.8;0.3;0;0.6;1.4;5.7
354;Markquis Nowell;SG;24;TOR;1;0;4;0;1;0;0;0;0;0;1;0;0;2;2;1;2;0;2;2;1;0;0;0;2
355;Frank Ntilikina;PG;25;CHO;5;0;8.6;0.2;1.8;0.111;0.2;1.6;0.125;0;0.2;0;0.167;0.4;0.4;1;0.2;1;1.2;0.8;0;0;0.2;0.8;1
356;Jusuf Nurki?;C;29;PHO;46;46;27.3;4.6;8.9;0.511;0.5;1.7;0.266;4.1;7.2;0.569;0.536;2.3;3.2;0.705;2.6;7.7;10.2;3.6;1;1;2.1;3.3;11.9
357;Jordan Nwora;SF;25;TOT;23;0;11.3;2.3;5;0.465;0.8;2.3;0.358;1.5;2.7;0.557;0.548;0.9;1;0.875;0.5;1.5;2;1.1;0.4;0.1;0.7;1.2;6.3
357;Jordan Nwora;SF;25;IND;18;0;10.2;2.1;4.6;0.451;0.6;2;0.306;1.4;2.6;0.565;0.518;0.5;0.6;0.818;0.4;1.4;1.8;1;0.3;0.1;0.7;1.1;5.2
357;Jordan Nwora;SF;25;TOR;5;0;15.6;3.2;6.4;0.5;1.6;3.4;0.471;1.6;3;0.533;0.625;2.4;2.6;0.923;0.8;1.8;2.6;1.4;0.6;0.4;0.6;1.8;10.4
358;Royce O'Neale;SF;30;BRK;47;6;24.3;2.4;6.3;0.387;1.9;5.1;0.364;0.6;1.2;0.491;0.535;0.3;0.4;0.65;0.8;3.7;4.5;2.9;0.7;0.6;1;2.4;7
359;Chuma Okeke;SF;25;ORL;29;8;12.7;1.2;3.3;0.379;0.8;2.4;0.31;0.5;0.8;0.583;0.495;0.1;0.2;0.4;0.6;1.8;2.4;0.6;0.2;0.2;0.4;0.6;3.3
360;Josh Okogie;SG;25;PHO;43;11;18.2;1.6;3.9;0.407;0.5;1.8;0.273;1.1;2.1;0.522;0.47;1.5;2.1;0.719;1.3;1.7;2.9;1.2;0.9;0.5;0.5;1.4;5.1
361;Onyeka Okongwu;C;23;ATL;48;3;25;3.8;6.3;0.603;0.4;1.2;0.321;3.4;5.1;0.668;0.633;1.7;2.1;0.82;2.6;4.3;6.8;1.3;0.5;1;0.8;2.9;9.6
362;Isaac Okoro;SF;23;CLE;38;24;26.3;3.2;6.5;0.492;0.9;2.5;0.372;2.3;4.1;0.565;0.563;1.5;2.2;0.687;1.2;1.9;3.2;1.9;0.9;0.4;0.8;2.1;8.8
363;Kelly Olynyk;C;32;UTA;48;8;20.5;2.9;5.1;0.563;0.7;1.7;0.427;2.2;3.4;0.63;0.634;1.6;1.9;0.843;1.2;3.8;5.1;4.3;0.8;0.3;1.7;2.6;8.1
364;Eugene Omoruyi;SF;26;WAS;19;0;5.8;1.7;2.9;0.582;0.3;0.9;0.294;1.4;2;0.711;0.627;0.8;1.1;0.762;0.6;0.9;1.5;0.6;0.5;0.1;0.5;1.1;4.5
365;Cedi Osman;SF;28;SAS;50;1;18.1;2.7;5.7;0.477;1.2;3.2;0.37;1.5;2.5;0.616;0.582;0.6;1;0.667;0.4;2.1;2.5;1.8;0.5;0.2;0.7;1.6;7.3
366;Kelly Oubre Jr.;SF;28;PHI;36;25;28;5;10.8;0.464;1.5;4.4;0.331;3.5;6.3;0.557;0.532;1.9;2.6;0.745;1;3.2;4.3;1.1;1.2;0.6;0.9;2.8;13.4
367;Chris Paul;PG;38;GSW;32;11;27.6;3.3;7.7;0.424;1.3;3.7;0.361;1.9;3.9;0.484;0.512;1.1;1.3;0.833;0.3;3.5;3.8;7.2;1.1;0.1;1.2;1.8;8.9
368;Cameron Payne;PG;29;MIL;45;2;14.9;2.1;4.6;0.459;1.1;2.8;0.403;1;1.9;0.541;0.579;0.8;0.9;0.875;0.1;1.1;1.2;2.3;0.4;0.1;0.7;1.6;6.2
369;Gary Payton II;SG;31;GSW;16;0;16.3;2.3;4.9;0.456;0.6;2;0.281;1.7;2.9;0.574;0.513;0.4;0.6;0.667;1;2;3;0.8;1.1;0.3;0.6;1.8;5.4
370;Drew Peterson;PF;24;BOS;1;0;3;1;1;1;1;1;1;0;0;0;1.5;0;0;0;0;0;0;1;0;0;0;1;3
371;Filip Petrušev;C;23;TOT;3;0;3.3;0.3;0.7;0.5;0;0;0;0.3;0.7;0.5;0.5;0.3;0.7;0.5;0;0.3;0.3;0;0;0;0;0.3;1
371;Filip Petrušev;C;23;PHI;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
371;Filip Petrušev;C;23;SAC;2;0;3.5;0.5;1;0.5;0;0;0;0.5;1;0.5;0.5;0.5;1;0.5;0;0;0;0;0;0;0;0.5;1.5
372;Julian Phillips;SF;20;CHI;26;0;6.4;0.7;1.5;0.425;0.2;0.8;0.227;0.5;0.7;0.667;0.488;0.2;0.4;0.545;0.2;0.4;0.6;0.3;0;0.2;0.2;1;1.7
373;Jalen Pickett;SG;24;DEN;16;0;6.1;0.8;1.8;0.429;0.4;1.3;0.35;0.3;0.5;0.625;0.554;0.1;0.1;1;0.1;0.6;0.7;0.8;0.2;0;0.4;0.5;2.1
374;Scotty Pippen Jr.;PG;23;MEM;5;2;20.2;2.8;6.2;0.452;1.2;2.4;0.5;1.6;3.8;0.421;0.548;2;2.8;0.714;0.8;2.4;3.2;4;1.2;0.4;2.2;2;8.8
375;Mason Plumlee;C;33;LAC;17;8;18;2.5;3.8;0.656;0;0;0;2.5;3.8;0.656;0.656;1.5;2.5;0.619;1.6;4.2;5.8;1.2;0.4;0.4;0.6;1.5;6.5
376;Brandin Podziemski;SG;20;GSW;40;11;25.5;3.8;8.1;0.467;1.2;3.3;0.369;2.6;4.8;0.534;0.542;0.7;1.1;0.622;1.5;4.1;5.6;3.6;0.9;0.2;1.2;1.9;9.5
377;Jakob Poeltl;C;28;TOR;37;37;26.4;4.7;6.8;0.684;0;0;0;4.7;6.8;0.684;0.684;1.1;2.1;0.532;2.7;5.5;8.2;2.4;0.6;1.4;1.6;3;10.5
378;Aleksej Pokusevski;PF;22;OKC;9;0;6.1;0.4;1.7;0.267;0.2;1.1;0.2;0.2;0.6;0.4;0.333;0.2;0.4;0.5;0.2;0.9;1.1;0.6;0.1;0.1;0.3;0.6;1.3
379;Jordan Poole;SG;24;WAS;46;46;29.3;5.9;14.4;0.41;2;6.4;0.304;4;8;0.495;0.477;2.7;3.1;0.866;0.4;1.9;2.2;3.5;1;0.4;2.2;3;16.5
380;Craig Porter Jr.;PG;23;CLE;30;5;15.4;2.8;5.5;0.512;0.2;0.7;0.333;2.6;4.8;0.538;0.534;1.1;1.5;0.696;0.5;2.1;2.6;3;0.6;0.4;1.1;1;6.9
381;Jontay Porter;PF;24;TOR;14;5;14.3;1.6;4.4;0.361;0.8;2.4;0.333;0.8;2;0.393;0.451;0.8;0.9;0.917;1.1;2.4;3.5;2.1;0.8;0.8;0.6;1.8;4.7
382;Michael Porter Jr.;SF;25;DEN;50;50;31.6;6.1;12.9;0.472;2.7;6.9;0.394;3.4;6.1;0.561;0.577;0.9;1.2;0.77;1.3;5.7;7;1.3;0.5;0.7;1;2;15.8
383;Otto Porter Jr.;SF;30;TOR;15;1;11.6;0.9;2.2;0.424;0.5;1.5;0.348;0.4;0.7;0.6;0.545;0.2;0.2;1;0.4;1.5;1.9;0.5;0.3;0.3;0.1;1.3;2.6
384;Bobby Portis;PF;28;MIL;49;0;23.4;4.9;9.9;0.498;1.1;2.9;0.371;3.9;7;0.551;0.552;1.3;1.7;0.776;1.6;5.3;6.9;1;0.7;0.4;0.9;2.5;12.3
385;Kristaps Porzi??is;C;28;BOS;35;35;29.7;6.5;12.4;0.52;1.8;5.1;0.35;4.7;7.3;0.639;0.592;4.7;5.5;0.84;1.7;5.2;6.9;2;0.7;1.9;1.7;2.9;19.4
386;Micah Potter;PF;25;UTA;2;0;3.5;0;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
387;Dwight Powell;C;32;DAL;42;8;15.7;1.5;2.1;0.713;0;0;0.5;1.5;2;0.718;0.718;1.4;1.9;0.734;1.8;2.1;3.9;1.7;0.5;0.4;0.6;2.1;4.4
388;Norman Powell;SG;30;LAC;47;0;25.4;4.7;9.6;0.496;2.1;4.6;0.452;2.7;5;0.536;0.604;1.9;2.3;0.849;0.2;2.5;2.7;1.1;0.5;0.4;0.9;1.9;13.5
389;Joshua Primo;SG;21;LAC;1;0;5;1;2;0.5;0;1;0;1;1;1;0.5;0;0;0;0;0;0;0;0;1;3;0;2
390;Taurean Prince;PF;29;LAL;48;47;30.5;3.5;8.1;0.432;2.1;5.3;0.388;1.4;2.8;0.515;0.559;0.6;0.8;0.75;0.2;2.7;2.9;1.8;0.9;0.5;0.9;2.3;9.7
391;Payton Pritchard;PG;26;BOS;49;0;21;2.8;6.6;0.424;1.7;4.4;0.378;1.1;2.2;0.519;0.551;0.6;0.7;0.794;0.9;2.2;3.1;2.9;0.4;0.1;0.6;1.3;7.8
392;Olivier-Maxence Prosper;PF;21;DAL;25;0;9.6;0.9;2.6;0.354;0.3;1.3;0.25;0.6;1.3;0.455;0.415;0.9;1.4;0.676;0.6;1.6;2.2;0.8;0.1;0.1;0.2;0.7;3.1
393;Trevelin Queen;SG;26;ORL;12;0;12.9;1.2;3;0.389;0.3;1.3;0.188;0.9;1.7;0.55;0.431;0.8;1;0.75;0.3;1.3;1.5;1.5;0.6;0.4;0.6;1.2;3.3
394;Neemias Queta;C;24;BOS;21;0;12.4;2;3.3;0.586;0;0;0;2;3.3;0.586;0.586;0.7;1;0.75;1.8;2.5;4.3;0.5;0.3;0.7;0.4;2;4.6
395;Immanuel Quickley;SG-PG;24;TOT;43;13;26.3;5.3;12;0.44;2.4;5.7;0.416;2.9;6.3;0.461;0.539;2.8;3.3;0.858;0.2;2.9;3.1;3.6;0.6;0.1;1.1;1.6;15.7
395;Immanuel Quickley;SG;24;NYK;30;0;24;5.1;11.2;0.454;2.1;5.4;0.395;2.9;5.8;0.509;0.549;2.7;3.1;0.872;0.2;2.4;2.6;2.5;0.5;0.1;1;1.5;15
395;Immanuel Quickley;PG;24;TOR;13;13;31.7;5.7;13.8;0.413;2.9;6.4;0.458;2.8;7.4;0.375;0.52;3;3.6;0.83;0.3;4;4.3;6.1;0.7;0.2;1.3;2;17.3
396;Lester Quinones;SG;23;GSW;12;0;9.2;1.6;3.5;0.452;1;2.3;0.444;0.6;1.3;0.467;0.595;0.3;0.5;0.667;0.8;1.2;1.9;0.5;0.1;0.1;0.7;1.1;4.5
397;Julius Randle;PF;29;NYK;46;46;35.4;8.6;18.2;0.472;1.7;5.3;0.311;6.9;12.9;0.539;0.518;5.1;6.6;0.781;2.2;7;9.2;5;0.5;0.3;3.5;2.7;24
398;Duop Reath;C;27;POR;37;11;17.7;3.4;7;0.479;1.4;3.6;0.383;2;3.4;0.579;0.577;1;1.4;0.76;1.4;2.5;3.9;1.2;0.5;0.5;0.8;2.5;9.1
399;Austin Reaves;SG;25;LAL;51;26;30.8;5.4;11.1;0.488;1.7;4.7;0.363;3.7;6.4;0.58;0.565;3.2;3.7;0.861;0.7;3.2;4;5.2;0.9;0.2;2.1;1.8;15.6
400;Cam Reddish;SF;24;LAL;35;26;23.3;2.4;5.9;0.405;0.9;2.7;0.337;1.5;3.1;0.464;0.483;1;1.3;0.783;0.5;1.9;2.4;1.3;1.2;0.3;0.9;1.6;6.7
401;Paul Reed;C;24;PHI;48;12;16.2;2.7;4.9;0.545;0.2;0.6;0.37;2.5;4.3;0.567;0.566;0.6;0.8;0.711;2;3;5;1.2;0.7;0.7;0.8;2.3;6.1
402;Naz Reid;C;24;MIN;49;0;22.4;4.6;9.4;0.49;2;4.7;0.417;2.7;4.8;0.562;0.594;1.1;1.4;0.754;0.9;3.7;4.6;1.1;0.7;0.7;1.3;2;12.3
403;Jared Rhoden;SG;24;DET;5;0;6;1;1.8;0.556;0.2;0.8;0.25;0.8;1;0.8;0.611;0.4;0.4;1;0.2;0.6;0.8;0.6;0;0;0.4;0.8;2.6
404;Nick Richards;C;26;CHO;38;25;25.3;3.7;5.4;0.686;0;0;0;3.7;5.4;0.686;0.686;2.2;2.9;0.739;2.7;5.2;7.8;0.8;0.3;1.4;0.9;2.7;9.5
405;Josh Richardson;SG;30;MIA;39;5;25.9;3.6;8.2;0.44;1.5;4.4;0.347;2.1;3.7;0.552;0.535;1.2;1.3;0.94;0.4;2.4;2.8;2.5;0.6;0.4;0.9;1.7;9.9
406;Duncan Robinson;SF;29;MIA;45;17;27.5;4.6;10.1;0.452;2.8;6.8;0.404;1.8;3.3;0.55;0.588;1.3;1.5;0.879;0.2;2.2;2.5;2.8;0.6;0.2;1.4;2.3;13.2
407;Jerome Robinson;SG;26;GSW;8;0;3.5;0;1.1;0;0;0.6;0;0;0.5;0;0;0.5;0.8;0.667;0.1;0.3;0.4;0.3;0;0.1;0;0.1;0.5
408;Mitchell Robinson;C;25;NYK;21;21;29.2;2.8;4.7;0.592;0;0;0;2.8;4.7;0.592;0.592;0.7;1.8;0.368;5.3;5;10.3;0.7;1.5;1.3;1;1.9;6.2
409;Orlando Robinson;C;23;MIA;20;7;11.5;1.6;3;0.517;0.4;0.6;0.583;1.2;2.4;0.5;0.575;0.7;1;0.7;1;2.2;3.1;1.4;0.3;0.4;0.7;1.5;4.2
410;Jeremiah Robinson-Earl;PF;23;NOP;19;1;10.8;1.6;3;0.526;0.4;1.1;0.381;1.2;1.9;0.611;0.596;0.5;0.6;0.909;0.7;1.8;2.5;0.5;0.4;0.2;0.5;0.7;4.1
411;David Roddy;PF;22;MEM;46;12;23;3.1;7.8;0.398;1;3.2;0.301;2.2;4.6;0.465;0.46;1;1.3;0.71;1.1;3;4.1;1.6;0.5;0.2;1;1.5;8.1
412;Ryan Rollins;PG;21;WAS;10;0;6.6;1.3;2.5;0.52;0.2;0.3;0.667;1.1;2.2;0.5;0.56;1.3;1.7;0.765;0.2;0.9;1.1;1.1;0.8;0.3;0.7;0.7;4.1
413;Derrick Rose;PG;35;MEM;18;7;17.8;3.4;7.6;0.445;0.7;2;0.333;2.7;5.6;0.485;0.489;1.1;1.2;0.909;0.4;1.3;1.7;3.4;0.4;0.1;1.2;1.1;8.6
414;Terry Rozier;SG-PG;29;TOT;36;35;34.5;7.6;17.1;0.442;2.5;7.2;0.347;5.1;9.9;0.511;0.515;3.5;4;0.862;0.6;3.4;4;6.4;1;0.4;2;1.8;21.1
414;Terry Rozier;SG;29;CHO;30;30;35.5;8.4;18.3;0.459;2.8;7.7;0.358;5.6;10.6;0.533;0.535;3.6;4.3;0.845;0.6;3.3;3.9;6.6;1.1;0.4;2.2;1.7;23.2
414;Terry Rozier;PG;29;MIA;6;5;29.7;3.5;11.3;0.309;1.2;4.5;0.259;2.3;6.8;0.341;0.36;2.7;2.7;1;0.8;3.5;4.3;5.5;0.8;0.3;1.2;1.8;10.8
415;Rayan Rupert;SG;19;POR;16;0;7.4;0.9;2.7;0.349;0.4;1.1;0.412;0.5;1.6;0.308;0.43;0.3;0.5;0.625;0.4;0.9;1.3;0.7;0.2;0;0.4;0.4;2.6
416;D'Angelo Russell;PG;27;LAL;47;40;30.8;6.3;13.5;0.465;2.6;6.2;0.416;3.7;7.3;0.506;0.56;1.9;2.4;0.795;0.4;2.3;2.7;6.2;0.8;0.5;1.9;2;17
417;Matt Ryan;SF;26;NOP;13;1;22.9;2.9;6.4;0.458;2.5;5.2;0.471;0.5;1.2;0.4;0.651;1;1.1;0.929;0.4;1.9;2.3;1.1;0.4;0.1;1.2;1.8;9.3
418;Domantas Sabonis;C;27;SAC;48;48;35.5;8;12.9;0.619;0.5;1.1;0.434;7.5;11.8;0.636;0.637;3.4;5;0.689;3.2;9.8;13;8;0.8;0.5;3.4;3.2;19.9
419;Luka Šamani?;PF;24;UTA;22;0;6.1;1;2.6;0.386;0.2;1;0.238;0.8;1.6;0.472;0.43;0.6;0.8;0.824;0.3;1.5;1.8;0.2;0;0.1;0.4;0.6;2.9
420;Jermaine Samuels;SF;25;HOU;10;0;4.9;0.6;0.9;0.667;0;0.2;0;0.6;0.7;0.857;0.667;0.2;0.2;1;0.2;0.8;1;0.2;0.1;0.1;0;0.4;1.4
421;Adama Sanogo;PF;21;CHI;3;0;3.7;1;1;1;0;0;0;1;1;1;1;0.7;1;0.667;0.7;1.3;2;0;0;0;0.3;0;2.7
422;Gui Santos;PF;21;GSW;8;0;7.6;0.8;1.9;0.4;0.1;1;0.125;0.6;0.9;0.714;0.433;1;1;1;0.9;1.1;2;0.6;0;0;0.4;1.1;2.6
423;Dario Šari?;C;29;GSW;44;9;20.5;3.5;7.4;0.481;1.5;3.8;0.412;2;3.6;0.553;0.586;1.6;1.9;0.854;1.4;4;5.5;2.6;0.6;0.2;1.3;2.2;10.2
424;Olivier Sarr;C;24;OKC;11;0;7.4;0.6;1.3;0.5;0.2;0.5;0.333;0.5;0.7;0.625;0.571;0.6;0.9;0.7;0.7;2.1;2.8;0.2;0;0.5;0.3;1.5;2.1
425;Marcus Sasser;PG;23;DET;43;0;15.5;2.8;5.9;0.484;1.1;2.6;0.429;1.7;3.3;0.529;0.579;0.7;0.7;0.906;0.1;1.4;1.5;2.7;0.5;0.2;0.9;1.3;7.5
426;Admiral Schofield;PF;26;ORL;12;0;3.8;0.4;1.3;0.333;0.2;0.8;0.222;0.3;0.5;0.5;0.4;0;0.2;0;0.1;0.5;0.6;0.3;0;0;0.3;0.6;1
427;Dennis Schröder;PG;30;TOR;48;33;30.8;5;11;0.449;1.5;4.3;0.345;3.5;6.8;0.515;0.516;2.4;2.8;0.853;0.4;2.3;2.7;6.2;0.9;0.1;1.6;2.1;13.8
428;Dereon Seabron;SG;23;NOP;5;0;10.4;0.8;2.6;0.308;0.2;0.4;0.5;0.6;2.2;0.273;0.346;1;1.2;0.833;0.2;1.2;1.4;0.8;0.4;0.2;0;0.8;2.8
429;Alperen Þengün;C;21;HOU;48;48;32.6;8.6;15.9;0.544;0.6;2;0.284;8.1;13.9;0.581;0.562;3.9;5.4;0.724;2.7;6.6;9.3;5.1;1.2;0.7;2.6;3.3;21.7
430;Brice Sensabaugh;SF;20;UTA;4;0;3;0.5;1.5;0.333;0.3;0.5;0.5;0.3;1;0.25;0.417;0;0;0;0.3;0.5;0.8;0.5;0;0;0;0.3;1.3
431;Collin Sexton;SG;25;UTA;50;27;24.3;6;12.3;0.485;1.5;3.9;0.383;4.5;8.4;0.533;0.546;4.1;4.6;0.879;0.9;1.7;2.6;4.5;0.7;0.2;1.8;2;17.5
432;Landry Shamet;SG;26;WAS;31;0;14.9;2.7;6.1;0.444;1.3;3.4;0.375;1.5;2.7;0.529;0.548;1;1.3;0.795;0.3;1;1.3;1.4;0.5;0.2;0.6;1.7;7.7
433;Day'Ron Sharpe;C;22;BRK;37;1;16;3;5.2;0.575;0;0.2;0.143;3;5;0.591;0.578;1.5;2.4;0.614;2.8;4.2;7;1.4;0.5;0.9;1;2.3;7.5
434;Shaedon Sharpe;SG;20;POR;32;25;33.1;5.5;13.6;0.406;1.9;5.6;0.333;3.6;7.9;0.457;0.475;3.1;3.7;0.824;1.3;3.7;5;2.9;0.9;0.4;2.3;2.8;15.9
435;Ben Sheppard;SG;22;IND;28;0;11;1.1;3.1;0.36;0.6;2;0.281;0.5;1;0.517;0.453;0.4;0.5;0.786;0.3;1.1;1.4;0.9;0.5;0;0.2;1.4;3.2
436;Pascal Siakam;PF;29;TOT;48;48;34.4;8.4;15.9;0.529;1.1;3.4;0.327;7.3;12.5;0.585;0.565;4;5.4;0.744;1.6;4.9;6.5;4.9;0.8;0.2;2.1;2.5;22
436;Pascal Siakam;PF;29;TOR;39;39;34.7;8.3;16;0.522;1.2;3.7;0.317;7.2;12.3;0.584;0.559;4.3;5.7;0.758;1.4;4.9;6.3;4.9;0.8;0.3;2.1;2.2;22.2
436;Pascal Siakam;PF;29;IND;9;9;33.1;8.9;15.8;0.563;0.9;2.2;0.4;8;13.6;0.59;0.592;2.6;3.9;0.657;2.4;4.8;7.2;4.8;0.8;0.1;2.2;3.4;21.2
437;Ben Simmons;PG;27;BRK;8;6;27.9;3;5.1;0.585;0;0;0;3;5.1;0.585;0.585;0.1;0.5;0.25;2.8;7.5;10.3;7;0.5;0.8;2;2.9;6.1
438;Anfernee Simons;SG;24;POR;27;27;33.7;8.1;18.3;0.44;3.4;8.7;0.387;4.7;9.6;0.488;0.532;3.6;4;0.898;0.6;2.9;3.5;5.1;0.5;0.1;2.5;2.1;23.1
